iata,icao,name,city,country,latitude,longitude,altitude
"ENF","EFET","Enontekio Airport","Enontekio","Finland","68.362602233887","23.424299240112","1005"
"HEL","EFHK","Helsinki Vantaa Airport","Helsinki","Finland","60.317199707031","24.963300704956","179"
"HEM","EFHF","Helsinki Malmi Airport","Helsinki","Finland","60.254600524902344","25.042800903320312","57"
"HYV","EFHV","Hyvinkää Airfield","Hyvinkaa","Finland","60.6543998718","24.8810997009","430"
"IVL","EFIV","Ivalo Airport","Ivalo","Finland","68.607299804688","27.405300140381","481"
"JOE","EFJO","Joensuu Airport","Joensuu","Finland","62.662899017334","29.607500076294","398"
"JYV","EFJY","Jyvaskyla Airport","Jyvaskyla","Finland","62.399501800537","25.678300857544","459"
"KAJ","EFKI","Kajaani Airport","Kajaani","Finland","64.285499572754","27.692399978638","483"
"KAO","EFKS","Kuusamo Airport","Kuusamo","Finland","65.987602233887","29.239400863647","866"
"KAU","EFKA","Kauhava Airport","Kauhava","Finland","63.127102","23.051399","151"
"KEM","EFKE","Kemi-Tornio Airport","Kemi","Finland","65.778701782227","24.582099914551","61"
"KEV","EFHA","Halli Airport","Halli","Finland","61.856039","24.786686","479"
"KHJ","EFKJ","Kauhajoki Airport","Kauhajoki","Finland","62.4625015259","22.3931007385","407"
"KOK","EFKK","Kokkola-Pietarsaari Airport","Kruunupyy","Finland","63.721199035645","23.143100738525","84"
"KTQ","EFIT","Kitee Airport","Kitee","Finland","62.1661","30.073601","364"
"KTT","EFKT","Kittilä Airport","Kittila","Finland","67.700996398926","24.846799850464","644"
"KUO","EFKU","Kuopio Airport","Kuopio","Finland","63.007099151611","27.797800064087","323"
"LPP","EFLP","Lappeenranta Airport","Lappeenranta","Finland","61.044601","28.144743","349"
"MHQ","EFMA","Mariehamn Airport","Mariehamn","Finland","60.122200012207","19.898199081421","17"
"MIK","EFMI","Mikkeli Airport","Mikkeli","Finland","61.6866","27.201799","329"
"OUL","EFOU","Oulu Airport","Oulu","Finland","64.930099487305","25.354600906372","47"
"POR","EFPO","Pori Airport","Pori","Finland","61.461700439453","21.799999237061","44"
"QLF","EFLA","Lahti Vesivehmaa Airport","Vesivehmaa","Finland","61.144199","25.693501","502"
"RVN","EFRO","Rovaniemi Airport","Rovaniemi","Finland","66.564796447754","25.830400466919","642"
"SJY","EFSI","Seinäjoki Airport","Seinäjoki / Ilmajoki","Finland","62.692101","22.8323","302"
"SOT","EFSO","Sodankyla Airport","Sodankyla","Finland","67.3949966431","26.6191005707","602"
"SVL","EFSA","Savonlinna Airport","Savonlinna","Finland","61.943099975586","28.945100784302","311"
"TKU","EFTU","Turku Airport","Turku","Finland","60.514099121094","22.262800216675","161"
"TMP","EFTP","Tampere-Pirkkala Airport","Tampere","Finland","61.414100646973","23.604400634766","390"
"UTI","EFUT","Utti Air Base","Utti","Finland","60.89640045166","26.938400268555","339"
"VAA","EFVA","Vaasa Airport","Vaasa","Finland","63.050701141357","21.762199401855","19"
"VRK","EFVR","Varkaus Airport","Varkaus","Finland","62.171100616455","27.868600845337","286"
"YLI","EFYL","Ylivieska Airfield","Ylivieska-raudaskyla","Finland","64.0547222","24.7252778","252"
