iata,icao,name,city,country,latitude,longitude,altitude
"BYT","EIBN","Bantry Aerodrome","Bantry","Ireland","51.66859817504883","-9.484169960021973","7"
"CFN","EIDL","Donegal Airport","Dongloe","Ireland","55.0442008972168","-8.340999603271484","30"
"DUB","EIDW","Dublin Airport","Dublin","Ireland","53.421299","-6.27007","242"
"GWY","EICM","Galway Airport","Galway","Ireland","53.300201416015625","-8.941590309143066","81"
"IIA","EIMN","Inishmaan Aerodrome","Inishmaan","Ireland","53.09299850463867","-9.568059921264648","15"
"INQ","EIIR","Inisheer Aerodrome","Inisheer","Ireland","53.064701080322266","-9.510899543762207","40"
"IOR","EIIM","Inishmore Aerodrome","Inis Mor","Ireland","53.1067008972168","-9.653610229492188","24"
"KIR","EIKY","Kerry Airport","Kerry","Ireland","52.18090057373047","-9.52377986907959","112"
"NNR","EICA","Connemara Regional Airport","Indreabhan","Ireland","53.23030090332031","-9.467780113220215","70"
"NOC","EIKN","Ireland West Knock Airport","Connaught","Ireland","53.910301208496094","-8.818490028381348","665"
"ORK","EICK","Cork Airport","Cork","Ireland","51.84130096435547","-8.491109848022461","502"
"SNN","EINN","Shannon Airport","Shannon","Ireland","52.702","-8.92482","46"
"SXL","EISG","Sligo Airport","Sligo","Ireland","54.280200958252","-8.5992097854614","11"
"WAT","EIWF","Waterford Airport","Waterford","Ireland","52.187198638916016","-7.0869598388671875","119"
